Academic Discipline,Field,LLM-Generated Name
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,William
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Elizabeth
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,William
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Christopher
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,David
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,James
Engineering & Technology,Aerospace Engineering,Isabella
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Jessica
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Alexander
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Michael
Engineering & Technology,Aerospace Engineering,Emily
Engineering & Technology,Aerospace Engineering,Oliver
Engineering & Technology,Aerospace Engineering,Jennifer
Engineering & Technology,Aerospace Engineering,Ethan
Engineering & Technology,Aerospace Engineering,Emily
